367151450,2022-01-01T03:52:43,29.32897,-94.77330,0.0,341.0,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T04:07:41,29.32898,-94.77322,0.0,341.0,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T03:55:42,29.32896,-94.77330,0.0,341.0,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T04:13:41,29.32895,-94.77324,0.0,351.1,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T04:16:43,29.32895,-94.77325,0.0,351.1,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T04:04:42,29.32893,-94.77327,0.0,341.0,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T04:19:41,29.32892,-94.77321,0.0,353.9,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T04:10:44,29.32893,-94.77321,0.0,341.0,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T04:25:42,29.32891,-94.77331,0.0,11.8,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T04:22:43,29.32891,-94.77322,0.0,1.6,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T04:28:41,29.32896,-94.77326,0.0,11.8,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T04:40:43,29.32902,-94.77329,0.0,11.8,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T04:37:41,29.32894,-94.77329,0.0,11.8,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T04:52:42,29.32895,-94.77328,0.0,27.8,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T04:55:40,29.32897,-94.77328,0.0,27.8,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T04:46:43,29.32898,-94.77325,0.0,36.5,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T04:58:40,29.32896,-94.77332,0.0,27.8,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T04:43:37,29.32895,-94.77330,0.0,23.7,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T04:49:41,29.32890,-94.77326,0.0,30.6,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T05:07:43,29.32892,-94.77329,0.0,14.8,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T05:04:37,29.32891,-94.77329,0.0,15.7,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T05:10:42,29.32894,-94.77331,0.0,359.3,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T05:22:38,29.32895,-94.77326,0.0,6.4,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T05:19:41,29.32902,-94.77333,0.0,338.9,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T05:25:38,29.32897,-94.77329,0.0,6.4,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T05:28:37,29.32890,-94.77330,0.0,6.4,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T05:37:41,29.32900,-94.77322,0.0,350.2,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T05:40:44,29.32894,-94.77326,0.0,350.2,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T05:34:43,29.32892,-94.77324,0.0,350.2,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T05:55:45,29.32891,-94.77326,0.0,357.5,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T05:43:43,29.32895,-94.77327,0.0,350.2,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T06:04:45,29.32894,-94.77326,0.0,357.5,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T05:49:44,29.32894,-94.77329,0.0,357.5,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T02:52:42,29.32897,-94.77330,0.0,78.2,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T05:52:44,29.32895,-94.77330,0.0,357.5,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T05:46:43,29.32893,-94.77324,0.0,350.2,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T06:22:46,29.32899,-94.77326,0.0,326.8,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T06:10:45,29.32897,-94.77327,0.0,323.8,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T05:58:45,29.32893,-94.77326,0.0,357.5,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T06:07:37,29.32895,-94.77327,0.0,345.1,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T06:13:42,29.32898,-94.77330,0.0,323.8,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T03:07:45,29.32895,-94.77330,0.0,83.4,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T03:10:46,29.32898,-94.77328,0.0,89.0,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T06:19:41,29.32899,-94.77327,0.0,326.8,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T06:34:44,29.32891,-94.77322,0.0,11.5,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T06:16:45,29.32897,-94.77330,0.0,312.6,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T03:13:45,29.32895,-94.77328,0.0,101.9,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T07:04:44,29.32896,-94.77323,0.0,229.5,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T06:40:44,29.32894,-94.77325,0.0,216.6,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T03:16:45,29.32896,-94.77325,0.0,155.0,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T06:25:38,29.32896,-94.77317,0.0,326.8,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T06:31:41,29.32896,-94.77319,0.0,336.9,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T06:55:41,29.32894,-94.77326,0.0,229.5,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T07:22:43,29.32897,-94.77330,0.0,279.3,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T06:46:46,29.32896,-94.77323,0.0,222.1,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T06:58:45,29.32893,-94.77324,0.0,229.5,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T07:01:40,29.32891,-94.77325,0.0,229.5,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T06:49:42,29.32897,-94.77325,0.0,223.5,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T07:10:42,29.32890,-94.77324,0.0,234.8,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T07:19:42,29.32893,-94.77328,0.0,249.9,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T07:16:41,29.32895,-94.77329,0.0,249.9,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
